name,transcript,sample1,sample2,sample3,sample4,sample5,sample6,sample7
Gene28211,uc547729.2;uc954301.1,139.72,124.72,146.6,129.72,136.27,121.32,125.27
Gene29866,uc144535.3,128.98,124.43,148.4,135.68,136.11,141.94,141.3
Gene42984,uc804278.2,138.86,136.86,159.94,128.64,142.21,149.99,146.02
Gene46629,uc921399.2,149.53,127.09,131.12,148.37,140.17,123.73,135.59
Gene9233,uc176665.3;uc593070.3,132.01,134.81,148.6,125.23,122.63,140.83,130.24
Gene47612,uc736687.3,135.7,129.27,147.94,129.11,123.67,136.82,140.84
Gene44517,uc775764.2,129.54,147.18,131.4,135.75,124.4,140.68,145.24
Gene3981,uc935265.2;uc849472.1,120.82,126.83,144.3,126.77,123.57,142.98,128.67
Gene45942,uc303328.2;uc596920.1,147.88,128.13,130.78,131.04,121.32,126.86,124.66
Gene21760,uc902911.1,147.57,127.56,122.17,148.69,148.37,139.14,137.3
Gene24534,uc114378.3,135.95,127.68,142.37,133.18,135.09,134.23,120.57
Gene2124,uc173673.1;uc402849.2,139.4,141.8,136.37,149.45,139.87,122.79,145.98
Gene22449,uc402428.2;uc415820.1,124.97,125.96,137.79,129.8,147.15,138.57,126.66
Gene11852,uc719453.2;uc161707.2,121.02,135.97,140.52,125.81,128.76,131.42,136.25
Gene35831,uc210923.3,135.51,147.67,143.33,149.08,142.23,134.27,138.68
Gene2477,uc770250.3;uc903351.3,133.67,134.7,122.05,143.69,144.67,125.96,140.01
Gene1129,uc712952.3,127.12,121.75,140.99,129.77,148.26,142.47,135.61
Gene25147,uc560567.2;uc381143.1,131.75,122.92,133.38,133.05,122.28,130.17,124.26
Gene12706,uc236682.3,126.25,137.1,135.26,140.05,127.62,149.27,128.43
Gene6287,uc913061.2,135.56,146.29,124.78,137.76,143,146.31,134.23
Gene42852,uc907893.3;uc870363.2,142.05,136.25,144.71,139.99,124.35,120.31,145.19
Gene39288,uc950081.3,132.78,124.71,147.61,120.44,139.21,147.96,133.68
Gene29513,uc147311.3,140.59,127.1,127.72,125.48,142.03,149.26,133.36
Gene50263,uc841261.3,146.8,149.32,145.81,148.95,125.8,140.72,126.52
Gene47878,uc900829.2,123.08,120.15,148.04,145.97,132.96,137.48,126.52
Gene30296,uc988584.3,133.96,122.66,137.66,120.23,130.5,121.62,132.43
Gene30077,uc760459.1,137.82,145.5,124.3,137.65,144.89,140.09,141.35
Gene1748,uc369078.1,134.64,145.49,148.15,138.19,129.58,131.33,136
Gene4755,uc970024.3,124.72,123.38,142.05,144.21,134.24,125.93,125.03
Gene8255,uc757846.3,124.93,141.62,130.59,126.69,129.6,148.83,133.34
Gene4903,uc875362.1,145.45,137.35,149.66,122.99,133.18,135.09,138.95
Gene44522,uc411114.1,130.32,141.17,146.24,133.06,127.38,134.26,128.03
Gene44568,uc749661.3;uc489174.3,149.84,120.03,140.9,125.65,145.35,127.71,136.51
Gene8239,uc758209.2,131.44,132.65,131.9,131.37,149.88,140.72,134.06
Gene2602,uc822774.1;uc475613.1,130.19,146.72,149.36,140.51,145.79,120.56,135.08
Gene39269,uc526778.1;uc559554.2,146.29,148.97,126.47,130.6,136.56,131.53,130.77
Gene2814,uc541212.1;uc878294.1,149.9,122.01,123.08,135.94,148.69,130.85,139.75
Gene29448,uc923347.3,124.2,128.73,134.39,136.98,132.45,125.59,143.16
Gene49674,uc713687.1,141.95,135.84,145.2,145.7,134.95,131.63,139.8
Gene49339,uc162982.2,132.43,145.73,128.04,134.44,134.89,141.71,127.52
Gene39523,uc600881.2;uc380239.2,140.08,137.84,122.37,141.58,124.29,124.4,125.29
Gene31629,uc457510.1,122.81,127.78,138.52,145.09,146.01,147.62,142.89
Gene44802,uc872692.2;uc544468.1,123.85,121.37,139.42,139.94,143.18,136.46,141.29
Gene20382,uc932160.1;uc628570.3,120.16,141.32,121.41,147.34,120.24,143.6,128.68
Gene47070,uc463492.1,126.64,136.65,142.57,139.56,122.77,138.85,133.21
Gene41672,uc630184.2,126.88,144.49,128.61,131.16,126.52,125.04,121
Gene49364,uc755805.2,138.18,126.97,129.53,137.01,127.08,138.46,147.31
Gene31687,uc301451.3;uc372616.2,126.69,138.64,122.5,122.39,121.9,149.38,141.26
Gene22071,uc396046.1;uc292906.3,149.91,142.59,140.08,141.47,136.16,147.54,136.99
Gene29376,uc783027.1;uc369789.3,149.9,145.27,145.46,131.2,146.84,135.48,130.41
Gene44542,uc862705.2,121.2,132.8,127.81,143.4,125.67,149.44,139.3
Gene24056,uc239026.1,122.72,148.71,133.31,139.12,145.95,129.85,121.27
Gene29576,uc152809.3,133.9,122.45,142.32,121.27,147.81,137.19,143.07
Gene1897,uc940466.1,143.94,136.33,126.21,120.79,145.08,123.71,134.03
Gene4687,uc493540.2,138.91,128.42,123.54,144.73,128.32,141.9,145.6
Gene43276,uc229056.1;uc540144.3,124.42,127.01,137.9,138.86,137.53,130.73,137.79
Gene45669,uc888426.2,149.99,127.61,123.52,139.03,143.62,144.56,148.55
Gene40585,uc892171.2,141.42,136.63,143.78,135.55,128.58,145.21,148.07
Gene5056,uc636085.2,121.94,140.4,141.68,147.94,122.86,120.3,133.88
Gene41373,uc843832.1,140.23,135.85,128.02,129.02,120.32,129.51,132.65
Gene12279,uc397367.1,123.53,147.18,142.92,142.94,122.38,144.96,147.55
Gene36886,uc450311.3;uc745451.1,135.29,145.1,129.12,143.01,135.36,137.14,120.73
Gene44901,uc157374.3;uc210169.1,137.98,145.79,129.02,127.85,139.69,134.84,135.6
Gene43694,uc973021.3,131.42,135.45,149.14,141.42,140.62,141.75,134.72
Gene44945,uc685565.2,120.9,130.65,142.25,135.49,125.27,121.84,141.93
Gene13435,uc204496.2,122.23,128.35,132.22,141.28,129.74,127.7,144.22
Gene21714,uc958903.1;uc172957.3,138.61,138.65,127.27,148.99,130.51,141.83,149.95
Gene35287,uc652899.1,133.78,143.61,141.59,133.56,140.2,124.23,135.87
Gene29357,uc208753.2,142.96,130.37,133.13,138.24,149.04,127.54,134.82
Gene38392,uc446682.3,145.75,132.38,126.45,144.36,137.02,140.59,125.04
Gene20154,uc126620.3;uc129401.1,126.22,139.2,122.09,128.16,127.39,138.62,136.4
Gene15401,uc176330.3;uc123656.1,149.77,131.4,120.74,142.23,143.02,134.79,128.93
Gene43203,uc231059.2,147.65,122.31,121.21,126.06,140.61,128.93,122.86
Gene20928,uc442958.3;uc423626.1,122.04,136.68,141.4,131.16,140.57,129.84,123.36
Gene44857,uc801547.2,141.57,120.86,147.55,129.03,143.74,131.37,124.3
Gene6314,uc173625.3,126.93,140,137.84,137.54,127.45,132.29,146.1
Gene41139,uc995978.2;uc821004.1,122.6,141.98,127.97,134,143.77,133.93,140.54
Gene11962,uc119368.2,130.77,131.63,120.07,144.32,136.51,142.67,142.35
Gene14477,uc527679.2;uc266515.2,147.07,132.12,120.96,138.01,130.33,123.01,129.21
Gene28428,uc997692.1;uc333226.2,142.82,149.97,146.94,136.88,127.01,122.91,131.81
Gene47358,uc154710.1,134.37,129.89,141.79,143.19,149.57,126.26,128.78
Gene15892,uc500531.3;uc900646.2,141.27,132.75,140.93,127.35,138.68,143.16,131.23
Gene32169,uc937198.1,149.27,135.11,149.05,123.78,128.58,148.24,144.66
Gene26507,uc701669.3,146.35,122.97,141.69,137.37,120.27,129.16,149.96
Gene35629,uc108246.1,134.96,125.56,136.04,138.05,127.27,142,136.94
Gene27033,uc522081.1;uc635936.3,145.06,143.88,130.9,148.17,144.26,140.87,136.88
Gene16796,uc424573.1,141.18,120.03,121.07,135.23,148.69,125.67,144.71
Gene22931,uc283751.3;uc113082.1,137.52,131.02,147.11,120.02,148.44,136.37,145.64
Gene9564,uc522036.3,130.77,149.54,132.65,149.77,146.58,145.23,133.9
Gene25532,uc769642.3,124.84,131.23,146.77,149.82,140.25,126.38,136.36
Gene47459,uc955488.2,148.69,129.55,121.78,139.29,148.68,136.18,131.64
Gene40500,uc549060.3,141.12,140.96,123.49,149.98,133.45,140.76,139.24
Gene5677,uc795795.2,125.29,144.78,139.34,144.12,144.59,133.9,134.79
Gene44594,uc180705.3,128.73,138.91,128.47,134.1,145.71,141.51,125.8
Gene31960,uc222753.1,146.41,146.26,139.67,136.17,148.97,127.69,138.42
Gene23951,uc646451.2;uc539514.2,126.39,139.09,137.68,147.05,131.63,141.33,148.16
Gene17779,uc598466.1,131.43,135.28,131.27,127.94,123.85,134.48,130.97
Gene41302,uc542159.3;uc349232.1,136.27,123.3,149.83,140.08,123.99,145.39,133.53
Gene5075,uc221480.2,141.73,138.42,133.36,149.19,121.55,145.09,133
Gene38835,uc219069.1;uc666237.2,146.71,145.89,122.93,134.14,123.78,126.22,130.96
Gene39935,uc414032.3;uc366940.1,123.47,139.31,123.65,133.31,125.8,127.48,123.89
Gene8958,uc465843.2;uc311492.2,129.28,143.98,130.15,134.77,145.92,139.39,132.05
Gene2246,uc132811.2,120.27,124.2,133.99,127.39,133.16,127.89,137.19
Gene2048,uc327179.3;uc752500.1,143.69,145.69,131.66,141.53,139.8,148.35,141.29
Gene40721,uc821678.1,137.19,147.98,126.15,145.37,140.19,120.21,124.53
Gene38224,uc386723.1;uc980249.1,141.91,126.21,141.32,134.38,126.36,148.19,133.76
Gene42373,uc874823.2,123.39,120.42,144.31,137.63,120.97,142.17,143.39
Gene34416,uc407668.2,139.84,128.22,132.56,120.24,133.19,148.57,128.74
Gene40333,uc533909.2;uc718916.2,123.94,145.08,141.18,149.03,125.41,137.95,134.87
Gene27214,uc527991.2;uc257474.3,148.81,145.22,142.2,125.99,122.53,142.5,140.93
Gene21537,uc498774.3;uc423944.2,128.74,131.93,141.01,136.01,126.98,139.68,148.05
Gene30531,uc800037.2,143.47,142.42,121.58,146.39,133.25,143.42,139.88
Gene43969,uc636244.1;uc407049.1,134.58,128.13,139.45,131.44,138.48,136.61,130.55
Gene7389,uc862354.2,149.21,126.38,121.6,120.15,145.86,126.47,130.23
Gene28472,uc744989.2;uc868569.3,124.41,133.37,124.41,141.07,131.81,138.46,125.4
Gene5043,uc653812.1;uc503574.1,121.59,124.25,140.28,147.27,133.94,148.07,125.55
Gene10868,uc339024.1,134.35,130.25,146.73,132.11,141.86,126.31,149.69
Gene12920,uc876501.3,129.9,120.08,120.27,132.71,136.94,130.64,132.59
Gene38946,uc512568.1;uc753490.3,122.93,143.99,132.08,128.19,128.8,129.37,142.36
Gene7086,uc112960.1,141.04,122.52,139.84,149.3,136.16,132.85,123.42
Gene24251,uc782782.2;uc727563.1,129.89,120.18,145.67,122.62,137.67,142.93,124.33
Gene10805,uc704840.2,138.08,133.85,137.46,137.31,135.14,140.24,130.84
Gene36695,uc673962.2,125.02,136.93,124.66,149.96,147.9,132.73,145.38
Gene42047,uc311693.1,131.17,146.72,143.57,143.27,141.05,145.66,127.51
Gene27463,uc312028.3,121.49,129.49,141.61,127.25,121.37,128.32,144.39
Gene6928,uc375683.2,138.02,134.28,147.11,126.32,122.82,126.77,126.32
Gene3021,uc393630.3,145.47,126.9,147.92,142.03,132.89,145.13,144.2
Gene39449,uc375424.3;uc940204.2,121.65,134.2,121.33,144.71,144.31,131.19,143.84
